location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
US Diplomatic Post: New Delhi,pm25,26.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,21.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,19.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,25.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,19.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,41.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,49.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,89.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,76.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,81.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,54.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-05 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,39.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,46.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,69.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,72.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,70.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,67.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,79.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,92.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,75.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,53.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,42.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,46.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,33.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,16.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,28.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,27.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,36.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,56.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,31.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,45.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,40.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,51.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,48.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-04 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,40.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,47.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,48.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,43.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,49.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,56.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,56.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,55.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,46.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,28.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,25.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,17.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,26.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,26.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,51.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,57.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 05:30:00+00:00,28.63576,77.22445
